Time,Acc1_X,Acc1_Y,Acc1_Z,Acc2_X,Acc2_Y,Acc2_Z,Acc3_X,Acc3_Y,Acc3_Z,AccF1_X,AccF1_Y,AccF1_Z,AccF2_X,AccF2_Y,AccF2_Z,AccF3_X,AccF3_Y,AccF3_Z,Vel1_X,Vel1_Y,Vel1_Z,Vel2_X,Vel2_Y,Vel2_Z,Vel3_X,Vel3_Y,Vel3_Z,Pos1_X,Pos1_Y,Pos1_Z,Pos2_X,Pos2_Y,Pos2_Z,Pos3_X,Pos3_Y,Pos3_Z
0.25,-4.718447854656915e-16,-3.608224830031759e-16,-1.0496189784869556,-2.632591587450628e-16,-6.070067857181649e-17,-1.0183319694480772,-5.695231250930723e-18,-2.695280033032096e-16,-0.9788258272031851,-6.557866068647856e-05,2.4640336674747253e-05,-1.0496872281588514,4.3855562927178375e-05,1.06122204764498e-05,-1.0183344334721465,1.1810054317844395e-05,6.748608966009669e-05,-0.9787792725163424,-4.489449977192975e-09,4.7205903962589495e-08,-1.1847762303022515e-10,-5.518766567965284e-08,-1.8975052004129153e-08,1.7157609781396667e-08,3.849068102050254e-08,-1.158212280914111e-08,-4.0848642096841855e-08,0.2,0.0,0.0,0.2,0.0,0.55,0.0,0.0,1.05
0.31,0.019698789437326142,-0.010263559242339598,-1.0470466164628884,0.013308407113868975,0.011022598562468577,-1.0195103670983547,0.010476334780277248,0.0001618086459145296,-0.9926178621340306,0.0041688825614358055,-0.004458793919260953,-1.0486800010310402,0.003206453520296748,-0.0005143617362927625,-1.0214304199322772,0.005396701755563456,-0.0014139010047233935,-0.9823590982468053,0.002189634494708953,-0.002323986350080927,0.0005202742603797459,0.0016364299768980217,-0.00027465280225300254,-0.0016052723989174876,0.002799334932048909,-0.0007637370857768204,-0.0018598227831464545,0.1985329710789742,0.001553285618631553,-0.00034895379814110707,0.19890431806417325,0.00018187720632373533,0.5510726043852728,-0.0018655955145008738,0.0005132264995936764,1.051240230481126
0.37,0.009966532159702474,-0.010029284360260293,-1.0493331604842813,0.00589507111907232,-0.008177887108650351,-1.0282501496712457,0.019310021543962445,-0.014719540395467976,-0.9933330046860004,0.0075999465940292405,-0.00818596456131463,-1.0478460522800748,0.00574806172852099,-0.001138573661431411,-1.0239281549835593,0.010200400708030006,-0.0025438366965585633,-0.9855499400790048,0.0022920946246444245,-0.0024796709117977343,0.000555234419488917,0.001700010084063029,-0.0003968668703537947,-0.00166779268001688,0.003163392658453135,-0.0007614748550058229,-0.0021022995148156608,0.19734427908212476,0.002844563738484224,-0.0006378753095551302,0.19802377800209828,0.0003981354028195431,0.5519379445938801,-0.0035298368244349523,0.0009046926748325434,1.0523456975062577
0.43,0.007679988138309453,-0.012030010378979187,-1.039805893728477,0.00589507111907232,-0.008177887108650351,-1.0282501496712457,0.00030648966512989296,0.006538446189437569,-0.9712657487966476,0.009811589710310535,-0.010675790834139784,-1.0472531287540758,0.007297392180228949,-0.0019526228563832443,-1.0254111961402683,0.014039728964512745,-0.003143636119527566,-0.9881362391879228,0.0012484981804134674,-0.001406547337116465,0.0003391784691518504,0.0008690926239951824,-0.000479852275396975,-0.0008292430952623682,0.0021940913428518055,-0.0003359818005808224,-0.0014778403129711733,0.19657805541295484,0.0037071639511114477,-0.00084329364142052,0.19748701252907727,0.000680162713848638,0.5524517441433003,-0.004859971945320267,0.0011124931609281775,1.0532417207290905
0.49,0.009966532159702474,-0.010029284360260293,-1.0493331604842813,0.005400989230437952,0.0016693966712262966,-1.0265807530000193,0.030092845989369597,-0.008019285560115394,-0.9995649612103084,0.01087202217351891,-0.011845195347857284,-1.0468169489496515,0.007802921716691631,-0.003057003168335882,-1.0257801411366196,0.016818981667208497,-0.0032855276883758584,-0.9900790515211041,0.0005576957680939474,-0.0006202490405716192,0.00023797788925988332,0.00025044696954260677,-0.0006355948544485134,-0.00017340809224255642,0.0015517993877628628,-5.834150204553327e-05,-0.0010888790073133381,0.1962106686284936,0.004112304098112696,-0.000994408117216141,0.19731187184139096,0.0010627752287494176,0.5525795651225285,-0.005822843932999104,0.0011616514892800057,1.0539148079842087
0.55,0.010200807041781779,-0.01982429383844092,-1.0513338865030002,0.013802489002503287,0.0011753147825919288,-1.0211797637695812,0.009655010771981219,-0.007359770197734095,-0.9860794159445927,0.011163275759195443,-0.011978209841395616,-1.0463575367130573,0.007480788161890211,-0.0045376035688677995,-1.0252614108696312,0.01866385343369542,-0.0032299102217311325,-0.9913923960862894,0.000217316312631498,-0.0001297489443877943,0.00027570221972323457,-0.00015016084012103091,-0.0008618037404754988,0.000264749230722417,0.0011376550052875883,1.9290728702593604e-05,-0.0008099995520709687,0.1961097638353861,0.004158386964078472,-0.0011535714682077054,0.19742347499856658,0.0015757291782896835,0.5523998510422795,-0.006461999682703627,0.0011423828201856392,1.0543698161562831
0.61,0.009732257277623169,-0.00023427488207966585,-1.0473324344655626,0.00589507111907232,-0.008177887108650351,-1.0282501496712457,0.021565648890814297,0.01340050967070495,-0.991289740251801,0.011133892118326244,-0.011579672903464887,-1.0457347541547906,0.0067205587953798555,-0.006373532687910541,-1.0242965303402756,0.019809172161219343,-0.0032935409192545503,-0.9920777803369837,-1.3321781830782979e-05,0.00024030747264992683,0.00038951925484310003,-0.000463680495350877,-0.0011359796499945966,0.0005909451173502339,0.0006984935849067297,-4.9634282059485285e-05,-0.00040887762261675056,0.1961199437965899,0.004020313857873848,-0.0013693344606079206,0.19768685643218492,0.002211786748144878,0.5520655682214795,-0.006858795310041541,0.0011644276727973994,1.0546072675025209
0.67,0.007679988138309453,-0.012030010378979187,-1.039805893728477,0.0004940818886341046,-0.009847283779876708,-1.0200013661193037,0.019003531878832546,-0.021257986584905814,-1.000893083092538,0.011106476789800451,-0.011168517095769702,-1.0449544321113202,0.005960032077649573,-0.008396560559746495,-1.0233823134311377,0.020494715297777858,-0.0037174331887730927,-0.9921552918702088,-3.579118115642095e-05,0.00028586732380056116,0.0005004208511653187,-0.0005063772512684869,-0.0013086672118851085,0.0006047204448214528,0.00042161072639180244,-0.0002687011765437382,-3.532797925476241e-05,0.19613287168364785,0.0038264305038916684,-0.0017373006966252377,0.1980454880459597,0.0031657594797711575,0.5516344629390211,-0.0071820678994779195,0.0013643169931066047,1.0546438186000677
0.74,0.009966532159702474,-0.010029284360260293,-1.0493331604842813,0.0004940818886341046,-0.009847283779876708,-1.0200013661193037,0.02074432488251827,0.0058789308270563246,-0.9847512940623632,0.01118651566058107,-0.011102159380049435,-1.0441658757798258,0.0055224661538017285,-0.010374724502352474,-1.0229253718660611,0.02090470311952177,-0.0045911769059023295,-0.9917226668029029,5.214912194709113e-05,4.684066743024786e-05,0.0004884610083459576,-0.00027872417915441103,-0.0012278795202914543,0.0002909523635684214,0.0002698100612979727,-0.000532181332762947,0.0002467631162209622,0.19610514222006745,0.0038034408759346906,-0.0020104960061292335,0.19819708274277417,0.0038510942985604426,0.551476155552078,-0.007324108163921586,0.0016670254689562806,1.0544939356628045
0.8,0.017646520298012426,-0.022059294739239118,-1.039520075725803,0.014790652779772023,-0.018519252777161366,-1.0245185571120339,0.020437835217388373,-0.0006595153623815131,-0.9923113724689008,0.011291678932298906,-0.011520599438732121,-1.0435841096995064,0.005501307777095118,-0.012150974331625946,-1.0231453322623512,0.02117572864201983,-0.005845636522092027,-0.9909729786472586,6.525593078796797e-05,-0.00025707865816789746,0.00033672996021864366,3.1679368594456653e-06,-0.0010195309706589818,-0.00013958083207073123,0.00015583206992304149,-0.0007294089174031287,0.0004395544959815066,0.19606870840878732,0.003948409417527705,-0.0022120488413852274,0.19820441306153783,0.004466475980862242,0.5515523608225742,-0.007418004945350018,0.002101632952806816,1.054234206231269
